"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"192","Food_cost_disc",5074.3301838854,4895.51884608454,5253.14152168626,307.454455777015,4471.71945056245,5676.94091720835,1,"edu"
"193","Prod_cost_disc",705.227294118815,130.37596380286,1280.07862443477,1206.57502259974,-1659.65975017668,3070.11433841431,1,"edu"
"194","Admin_costs",953.555970826372,920.648013473152,986.463928179593,56.2789126454776,843.249302041236,1063.86263961151,1,"edu"
"195","Total_cost_health",4983.04239283249,2678.56087138423,7287.52391428075,4347.16696342043,-3537.40485547156,13503.4896411365,1,"edu"
"196","Total_cost_societ",5688.26968695131,2808.93683518709,8567.60253871552,5481.15335568031,-5054.7908901821,16431.3302640847,1,"edu"
"197","SEQN",0,0,0,0,0,0,3,"edu"
"198","Incident First CVD",-0.00629042587595239,-0.0122663304581072,-0.000314521293797619,0.010201678826511,-0.026285716375914,0.0137048646240092,3,"edu"
"199","Incident Recurrent CVD",-0.00989970866521876,-0.0176819443661671,-0.00211747296427045,0.0167736731248719,-0.0427761079899677,0.0229766906595302,3,"edu"
"200","Incident CVD",-0.0161901345411711,-0.0299482748242742,-0.00243199425806807,0.0245347918672606,-0.064278326601002,0.0318980575186597,3,"edu"
"201","Life Years",-0.103248642987021,-0.16649469642106,-0.0400025895529816,0.136728655112562,-0.371236807007642,0.164739521033601,3,"edu"
"202","effect_disc",-0.0513364049281844,-0.0849529403903412,-0.0177198694660277,0.0779704465504403,-0.204158480167047,0.101485670310679,3,"edu"
"203","HCE_disc",-3544.36318902357,-4605.80093247586,-2482.92544557129,2155.523477756,-7769.18920542533,680.462827378188,3,"edu"
"204","Prod_cost",-924.568386200831,-1758.42370588353,-90.7130665181369,1435.48772675847,-3738.12433064743,1888.98755824577,3,"edu"
"205","Food_cost",5888.04457929824,5859.29499270918,5916.7941658873,451.964136333734,5002.19487208412,6773.89428651236,3,"edu"
"206","Food_cost_disc",4570.12402395783,4553.43091417878,4586.81713373689,325.62165169339,3931.90558663879,5208.34246127688,3,"edu"
"207","Prod_cost_disc",-689.949390707866,-1305.50462076519,-74.3941606505423,1066.26858440003,-2779.83581613193,1399.9370347162,3,"edu"
"208","Admin_costs",863.612734163126,861.861489532108,865.363978794144,58.1145537402605,749.708208832215,977.517259494036,3,"edu"
